"","state","state_j","score","name_x","pro_blm_ratio_x","topic_blm_ratio_x","name_y","pro_blm_ratio_y","topic_blm_ratio_y","contig","dif_mrp_ideology","dif_urban_index","dif_white","dif_black","dif_med_inc","dif_population","sim_score","dif_ratio"
"27","AK","NH",0,"Mike Dunleavy",0,0.0410958904109589,"Chris Sununu",0.00520156046814044,0.035110533159948,0,0.24774998,1.1799999,0.28619999,0.016899999,14148,644138,0,0.0059853572510109
"28","AK","NJ",0,"Mike Dunleavy",0,0.0410958904109589,"Phil Murphy",0.00658288450029922,0.0365050867743866,0,0.33751696,3.5,0.021400001,0.1015,10803,8555603,0,0.0045908036365723
"29","AK","NM",0,"Mike Dunleavy",0,0.0410958904109589,"Michelle Lujan Grisham",0.00117508813160987,0.027027027027027,0,0.16593054,1.16,0.066399999,0.0117,23840,1384131,0.069767445,0.0140688633839319
"30","AK","OH",0,"Mike Dunleavy",0,0.0410958904109589,"Mike DeWine",0.00355239786856128,0.0284191829484902,0,0.13737042,2.1400001,0.17110001,0.091200002,14367,11066057,0.046511628,0.0126767074624687
"31","AK","OK",0,"Mike Dunleavy",0,0.0410958904109589,"Kevin Stitt",0.00697674418604651,0.0372093023255814,0,0.019308636,1.2,0.0779,0.0405,22275,3225962,0.20930232,0.0038865880853775
"32","AK","OR",0,"Mike Dunleavy",0,0.0410958904109589,"Kate Brown",0.00289435600578871,0.0738060781476122,0,0.33608362,1.97,0.19230001,0.0135,2109,3503865,0,0.0327101877366533
"33","AK","PA",0,"Mike Dunleavy",0,0.0410958904109589,"Tom Wolf",0.0114942528735632,0.0505747126436782,0,0.16731003,2.4100001,0.1601,0.078500003,3957,12269309,0.023255814,0.0094788222327193
"34","AK","RI",0,"Mike Dunleavy",0,0.0410958904109589,"Gina Raimondo",0,0.333333333333333,0,0.37564418,2.98,0.1564,0.033,5429,363988,0,0.292237442922374
"35","AK","SC",0,"Mike Dunleavy",0,0.0410958904109589,"Henry McMaster",0,0.0384615384615385,0,0.047224458,1.37,0.031500001,0.2321,14405,4385034,0,0.0026343519494204
"36","AK","SD",0,"Mike Dunleavy",0,0.0410958904109589,"Kristi Noem",0.00689655172413793,0.0781609195402299,0,0.052462257,0.0099999998,0.2025,0.011,4557,153276,0.093023255,0.037065029129271
"37","AK","TN",0,"Mike Dunleavy",0,0.0410958904109589,"Bill Lee",0.00961538461538462,0.0416666666666667,0,0.022593921,1.46,0.1337,0.13429999,19771,6177449,0.13953489,0.000570776255707797
"38","AK","TX",0,"Mike Dunleavy",0,0.0410958904109589,"Greg Abbott",0.0481099656357388,0.154639175257732,0,0.12379045,2.4300001,0.057999998,0.088600002,6342,28412114,0.069767445,0.113543284846773
"39","AK","UT",0,"Mike Dunleavy",0,0.0410958904109589,"Gary Herbert",0,0.037037037037037,0,0.06914217,2.22,0.21780001,0.020300001,9247,2538225,0.13953489,0.0040588533739219
"40","AK","VA",0,"Mike Dunleavy",0,0.0410958904109589,"Ralph Northam",0.0173410404624277,0.0635838150289017,0,0.20052066,2.1700001,0.0296,0.15809999,7468,7898002,0,0.0224879246179428
"41","AK","VT",0,"Mike Dunleavy",0,0.0410958904109589,"Phil Scott",0.0200364298724954,0.0400728597449909,0,0.46178308,0.1,0.30239999,0.0196,7489,90314,0,0.001023030665968
"42","AK","WA",0,"Mike Dunleavy",0,0.0410958904109589,"Jay Inslee",0.0171339563862928,0.0607476635514019,0,0.35230786,2.3800001,0.1017,0.0062000002,6612,6971890,0,0.019651773140443
"43","AK","WI",0,"Mike Dunleavy",0,0.0410958904109589,"Tony Evers",0.0212389380530973,0.0831858407079646,0,0.17156576,1.45,0.2094,0.030999999,7341,5160327,0.069767445,0.0420899502970057
"44","AK","WY",0,"Mike Dunleavy",0,0.0410958904109589,"Mark Gordon",0,0.0206896551724138,0,0.17506197,0.47999999,0.26989999,0.023700001,9296,156540,0.27906978,0.0204062352385451
"45","AL","AK",0,"Kay Ivey",0,0.0209923664122137,"Mike Dunleavy",0,0.0410958904109589,0,0.022486305,0.87,0.0414,0.2335,20057,4290888,0.029069768,0.0201035239987452
"46","AL","AZ",0,"Kay Ivey",0,0.0209923664122137,"Doug Ducey",0.00151171579743008,0.0347694633408919,0,0.16156761,1.6900001,0.062700003,0.22059999,12399,2127223,0.040697675,0.0137770969286782
"47","AL","CA",0,"Kay Ivey",0,0.0209923664122137,"Gavin Newsom",0.0078125,0.037109375,0,0.39666423,2.5799999,0.1145,0.2087,22963,34513944,0.011627907,0.0161170085877863
"48","AL","CO",1,"Kay Ivey",0,0.0209923664122137,"Jared Polis",0.0245901639344262,0.10655737704918,0,0.25495395,1.54,0.1402,0.2244,29088,749435,0.023255814,0.0855650106369663
"49","AL","CT",0,"Kay Ivey",0,0.0209923664122137,"Ned Lamont",0.00519210799584631,0.0280373831775701,0,0.37946242,1.8,0.067199998,0.15889999,24743,1418335,0.011627907,0.0070450167653564
"50","AL","DE",0,"Kay Ivey",0,0.0209923664122137,"John Carney",0.00427960057061341,0.0513552068473609,0,0.26927248,1.4,0.00060000003,0.046,15333,4034331,0.0058139535,0.0303628404351472
"51","AL","FL",0,"Kay Ivey",0,0.0209923664122137,"Ron DeSantis",0,0.0117056856187291,1,0.19590463,1.85,0.0414,0.1065,3074,16513908,0.093023255,0.0092866807934846
"52","AL","GA",0,"Kay Ivey",0,0.0209923664122137,"Brian Kemp",0,0.0491803278688525,1,0.13802588,0.94,0.1025,0.049800001,4576,5687629,0.37209302,0.0281879614566388
"53","AL","HI",0,"Kay Ivey",0,0.0209923664122137,"David Ige",0,0.00635593220338983,0,0.40746909,1.48,0.43349999,0.2471,26136,3569008,0,0.0146364342088239
"54","AL","IA",0,"Kay Ivey",0,0.0209923664122137,"Kim Reynolds",0,0.012987012987013,0,0.1549637,0.02,0.2159,0.2287,14127,1833910,0.034883723,0.0080053534252007
"55","AL","ID",0,"Kay Ivey",0,0.0209923664122137,"Brad Little",0.0040650406504065,0.0203252032520325,0,0.074843735,0.02,0.20909999,0.25929999,12036,3185173,0.034883723,0.0006671631601812
"56","AL","IL",1,"Kay Ivey",0,0.0209923664122137,"J. B. Pritzker",0.0114192495921697,0.0424143556280587,0,0.3195993,2.01,0.0229,0.1246,19645,7788229,0.023255814,0.021421989215845
"57","AL","IN",1,"Kay Ivey",0,0.0209923664122137,"Eric Holcomb",0.00173913043478261,0.0104347826086957,0,0.10719551,0.80000001,0.1478,0.1715,12116,1761249,0.058139537,0.010557583803518
"58","AL","KS",0,"Kay Ivey",0,0.0209923664122137,"Laura Kelly",0.0135440180586907,0.0406320541760722,0,0.12938346,0.50999999,0.15459999,0.20900001,18393,2086399,0.063953489,0.0196396877638585
"59","AL","KY",0,"Kay Ivey",0,0.0209923664122137,"Andy Beshear",0.00087108013937282,0.0174216027874564,0,0.063435458,0.18000001,0.1875,0.1849,2066,518443,0.21511628,0.0035707636247573
"60","AL","LA",0,"Kay Ivey",0,0.0209923664122137,"John Bel Edwards",0,0.0166374781085814,0,0.02207241,0.56999999,0.0625,0.055799998,3503,366522,0.23837209,0.0043548883036323
"61","AL","MA",1,"Kay Ivey",0,0.0209923664122137,"Charlie Baker",0,0.0342298288508557,0,0.48728004,2.23,0.090599999,0.1912,33123,2005638,0.011627907,0.013237462438642
"62","AL","MD",0,"Kay Ivey",0,0.0209923664122137,"Larry Hogan",0,0.0277777777777778,0,0.36203569,2.0999999,0.13259999,0.032699998,40100,1152945,0.011627907,0.0067854113655641
"63","AL","ME",0,"Kay Ivey",0,0.0209923664122137,"Janet Mills",0,0.0106382978723404,0,0.24318859,0.56999999,0.26179999,0.252,9004,3661920,0.011627907,0.0103540685398733
"64","AL","MI",0,"Kay Ivey",0,0.0209923664122137,"Gretchen Whitmer",0.0344827586206897,0.0603448275862069,0,0.20805416,1.2,0.1006,0.1295,9703,5053052,0.011627907,0.0393524611739932
"65","AL","MN",1,"Kay Ivey",0,0.0209923664122137,"Tim Walz",0.00924214417744917,0.105360443622921,0,0.240064,0.85000002,0.14139999,0.2016,24064,682215,0,0.0843680772107073
"66","AL","MO",0,"Kay Ivey",0,0.0209923664122137,"Mike Parson",0.0112759643916914,0.0664688427299703,0,0.083818391,0.58999997,0.13789999,0.15189999,7489,1130634,0.058139537,0.0454764763177566
"67","AL","MT",0,"Kay Ivey",0,0.0209923664122137,"Steve Bullock",0,0.0217917675544794,0,0.0023343922,1.14,0.20299999,0.26030001,2052,3940054,0.023255814,0.000799401142265701
"68","AL","NC",0,"Kay Ivey",0,0.0209923664122137,"Roy Cooper",0.00210526315789474,0.0452631578947368,0,0.15106425,0.70999998,0.00079999998,0.0524,5741,5415109,0.14534883,0.0242707914825231
"69","AL","ND",0,"Kay Ivey",0,0.0209923664122137,"Doug Burgum",0.00763358778625954,0.0458015267175573,0,0.024218032,0.56,0.18179999,0.2344,9426,4245185,0.023255814,0.0248091603053436
"70","AL","NE",0,"Kay Ivey",0,0.0209923664122137,"Pete Ricketts",0.00643086816720257,0.0418006430868167,0,0.095872045,0.58999997,0.1781,0.2181,17559,3062775,0.029069768,0.020808276674603
