state_01,state_02,state_name_01,state_name_02,contig,improvement,p_value,vep_01,index_01,census_reg_01,urban_index_01,White_01,Black_01,Indian_01,Asian_01,Hawaiian_01,Other_01,med_inc_01,population_01,mrp_ideology_01,demshare_pres_01,year_01,policy_updated_01,policy_updated_economic_01,policy_updated_social_01,vep_02,index_02,census_reg_02,urban_index_02,White_02,Black_02,Indian_02,Asian_02,Hawaiian_02,Other_02,med_inc_02,population_02,mrp_ideology_02,demshare_pres_02,year_02,policy_updated_02,policy_updated_economic_02,policy_updated_social_02,dif_urban_index,std_dif_urban_index,dif_White,std_dif_White,dif_Black,std_dif_Black,dif_Indian,std_dif_Indian,dif_Asian,std_dif_Asian,dif_Hawaiian,std_dif_Hawaiian,dif_Other,std_dif_Other,dif_med_inc,std_dif_med_inc,dif_population,std_dif_population,dif_mrp_ideology,std_dif_mrp_ideology,dif_demshare_pres,std_dif_demshare_pres,dif_year,std_dif_year,dif_policy_updated,std_dif_policy_updated,dif_policy_updated_economic,std_dif_policy_updated_economic,dif_policy_updated_social,std_dif_policy_updated_social,dif_index,std_dif_index,dif_census_reg,std_dif_census_reg,dif_vep,std_dif_vep,sim_score,sim_binary,same_census,elect_tie,full_tie,censored_tie
MN,NE,Minnesota,Nebraska,0,1301.4915,0,.7976189277506597,.88661325,3,10.46,.8164,.0643,.0097,.0491,.0004,.06,78753,5706494,-.0417558347907784,.5363951364856667,2020,-1.19712644678138,-1.20784451379533,-.776835752525645,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,.25999999,-1.078429,.036699999,-.86012888,.0165,-.96260107,.00089999998,-.6111747,.0242,-.23967004,.00019999999,-.28794709,.0048000002,-.9592647,6505,-.69157034,3744990,-.36933678,.14419195,-.23959984,.13423567,.15325366,0,,1.737703,-.17095056,1.5816261,-.15211789,1.4146552,-.25503194,.014735281,-1.0022316,0,-1.2747456,.10233656,.70667261,.072463766,1,1,0,1,1
MI,NE,Michigan,Nebraska,0,,,.735291291955685,.87053281,3,10.81,.7756,.1364,.005,.0318,.0003,.0509,64392,10077331,-.0097460019760219,.5141355934440947,2020,.0218053387604016,-.248098676221199,.335261688741435,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,.61000001,-.68031174,.077500001,-.51328737,.088600002,-.13392979,.0038000001,-.52594942,.0068999999,-.49940154,.00030000001,-.28288281,.0139,-.7653442,7856,-.5504998,8115827,.17858818,.11218212,-.48936352,.11197612,-.10343336,0,,.51877117,-.99155754,.62188023,-.87189662,.30255777,-1.1344628,.0013451576,-1.2943597,0,-1.2747456,.040008929,-.55129135,.053254437,1,1,0,0,0
HI,NE,Hawaii,Nebraska,0,,,.5569281651073195,.80938625,5,11.09,.2415,.0188,.0025,.3764,.104,.2568,80825,1455271,-.2091609367073314,.6503266464651488,2020,-2.34896370662387,-1.90112926480999,-2.12672099813556,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,.88999999,-.36181802,.61159998,4.0271058,.028999999,-.81893408,.0063,-.45247933,.3515,4.6742101,.1034,4.9383941,.192,3.0299573,8577,-.47521344,506233,-.77534503,.31159705,1.0666149,.24816717,1.4670602,0,,2.8895402,.60448712,2.2749107,.36782345,2.7645404,.81243819,.062491715,.039655041,2,.75381202,.1383542,1.4336196,0,0,0,0,0,0
NM,NE,New Mexico,Nebraska,0,,,.6103098296260801,.81785929,4,9.9,.7,.0207,.0931,.0161,.0009,.1693,50906,2117522,.0098913126228344,.5551849015171975,2020,-1.43066933998225,-.782467576293605,-1.54843764500398,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,.30000001,-1.0329298,.1531,.12938955,.027100001,-.84077144,.084299996,1.8397872,.0088,-.47087613,.00030000001,-.28288281,.1045,1.1653371,21342,.85769969,156018,-.81924772,.092544802,-.64258796,.15302542,.36992857,0,,1.9712459,-.013725248,1.1562492,-.47113699,2.1862571,.35513991,.054018676,-.14519851,1,-.26046681,.084972531,.35621285,.046511628,1,0,0,0,0
NY,NE,New York,Nebraska,0,,,.6109621757814182,.73016864,1,12.56,.6231,.1539,.0039,.0858,.0005,.1328,68659,20201249,-.207388761709024,.6171683489301224,2020,-3.1272052475224,-2.86830110874631,-1.99227271629419,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,2.3599999,1.3102741,.23,.78311783,.1061,.067203976,.0049000001,-.49362257,.060899999,.31132108,.000099999997,-.29301137,.068000004,.38752401,3589,-.99605721,18239744,1.447715,.30982488,1.0527872,.21500887,1.0846937,0,,3.6677818,1.1284134,3.2420826,1.0931715,2.6300921,.70611835,.14170933,1.7679201,2,.75381202,.084320188,.34304658,.0035714286,0,0,0,0,0
LA,NE,Louisiana,Nebraska,0,40.24931,.046072751,.6420453332731901,.74608934,2,10.18,.6125,.3217,.0056,.0173,.0004,.0425,51186,4657757,.1762357490229309,.4053555954370895,2020,1.49362391642601,1.61208021734334,1.32092149331222,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,.02,-1.3514236,.2406,.87322861,.2739,1.9957898,.0031999999,-.54358226,.0076000001,-.48889217,.00019999999,-.28794709,.022299999,-.58634067,21062,.8284623,2696253,-.50080568,.073799632,-.7888512,.0031961179,-1.3578351,0,,.95304739,-.69919491,1.2382987,-.40960249,.68310201,-.83353388,.12578863,1.4205834,1,-.26046681,.053237028,-.28430748,.039370079,1,0,0,1,0
NV,NE,Nevada,Nebraska,0,244.75604,.000098712044,.6614806395037343,.8486293,4,11.77,.6208,.0933,.0124,.0833,.0071,.1832,61164,3104614,-.0312917040800406,.512231173400438,2020,-.619795809902352,-.0878344538015397,-1.30498692286097,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,1.5700001,.4116669,.2323,.80267012,.045499999,-.62929362,.0035999999,-.53182703,.058400001,.27378768,.0065000001,.031102814,.1184,1.4615452,11084,-.2134341,1143110,-.69550657,.13372782,-.3212485,.1100717,-.12539428,0,,1.1603724,-.55961996,.46161598,-.99208969,1.9428064,.1626225,.023248672,-.81649774,1,-.26046681,.033801723,-.67657191,.038961038,1,0,0,1,0
TN,NE,Tennessee,Nebraska,0,,,.5973217654875912,.77279973,2,10.2,.7673,.1667,.0025,.0181,.0006,.0447,54975,6910840,.1532279338319668,.3817222962793365,2020,1.72143016482,1.80502185780125,1.9442574301393,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,0,-1.3741732,.0858,-.44272891,.1189,.21431899,.0063,-.45247933,.0068000001,-.50090289,0,-.29807565,.020099999,-.63322252,17273,.43281734,4949336,-.21836084,.050791819,-.96837467,.020437181,-1.1590189,0,,1.1808536,-.54583162,1.4312403,-.26490238,1.306438,-.34060863,.099078238,.83785141,1,-.26046681,.097960599,.61835217,.029702971,0,0,0,0,0
VT,NE,Vermont,Nebraska,0,,,.7224219179633268,.90004885,1,8.84,.9360000000000001,.0128,.003,.0162,.0003,.0317,67257,643077,-.2859612280261545,.6829918655280656,2020,-2.43950147573189,-2.39626830534018,-1.78324218333973,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,1.36,.17279653,.082900003,-.46738183,.035,-.74997389,.0057999999,-.46717337,.0087000001,-.47237745,.00030000001,-.28288281,.033100002,-.35619316,4991,-.84966129,1318427,-.67352897,.38839734,1.6658658,.28083238,1.8437406,0,,2.980078,.66543877,2.7700498,.73916197,2.4210618,.54082006,.028170884,-.70911145,2,.75381202,.027139556,-.81103498,0,0,0,0,0,0
MO,NE,Missouri,Nebraska,1,,,.6597794693627023,.82341701,3,10.2,.8129,.114,.004,.0202,.0015,.0475,62178,6154913,.1144897709656352,.4216417935559855,2020,1.26663040473206,.789522537448806,1.25710373148544,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,0,-1.3741732,.040199999,-.83037531,.066200003,-.39138103,.0048000002,-.49656138,.0046999999,-.53243101,.00089999998,-.25249711,.0173,-.69289035,10070,-.31931531,4193409,-.31312332,.012053657,-1.2706376,.019482316,-1.17003,0,,.72605389,-.85201102,.415741,-1.0264945,.61928427,-.884,.04846096,-.26644939,0,-1.2747456,.035502892,-.64223707,.1779661,1,1,0,0,0
AZ,NE,Arizona,Nebraska,0,,,.6862364581213444,.83976352,4,11.3,.7377,.0453,.0434,.0333,.002,.1382,67088,7151502,.0367405466394182,.5015683167912931,2020,1.10168818463694,.674310219655808,1.09026174774291,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,1.1,-.12294766,.1154,-.19109878,.0024999999,-1.1235081,.034600001,.37920207,.0083999997,-.47688147,.0014,-.22717568,.073399998,.50259763,5160,-.83201438,5189998,-.18819162,.065695569,-.85208493,.099408843,-.24835348,0,,.56111163,-.96305317,.30052868,-1.1129,.45244229,-1.0159363,.032114446,-.62307602,1,-.26046681,.0090459036,-1.1762207,.03846154,1,0,0,0,0
WY,NE,Wyoming,Nebraska,1,,,.6533858944215532,.73802751,4,8.26,.9035,.0087,.0226,.0084,.001,.0558,65450,576851,.3508838213720116,.2751956562441491,2020,1.33178024821234,1.69480058341272,.787735475475022,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,1.9400001,.83253366,.0504,-.74366492,.039099999,-.70285112,.0138,-.23206909,.0165,-.35527307,.00039999999,-.27781853,.0089999996,-.8697629,6798,-.66097546,1384653,-.66522694,.2484477,.57387835,.12696382,.069398083,0,,.79120374,-.80815101,1.3210191,-.34756482,.14991602,-1.2551697,.13385046,1.5964656,1,-.26046681,.041896466,-.51319498,.06666667,1,0,0,0,0
RI,NE,Rhode Island,Nebraska,0,,,.6313336637091138,.86607927,1,11.72,.79,.0654,.0041,.0345,.0007,.1052,80175,1097379,-.1998223252729885,.6059935988395926,2020,-2.41285010806612,-2.3092309590477,-1.76405307328318,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,1.52,.35479292,.063100003,-.63570195,.0176,-.94995832,.0046999999,-.49950019,.0096000005,-.4588654,.000099999997,-.29301137,.040399998,-.20063062,7927,-.54308599,864125,-.73047996,.30225843,.99374825,.20383412,.95583147,0,,2.9534266,.64749658,2.6830125,.67388678,2.4018726,.52564561,.0057986975,-1.1971982,2,.75381202,.063948698,-.068112925,.0125,0,0,0,0,0
NJ,NE,New Jersey,Nebraska,0,158.06279,.0025333762,.7195035355969399,.74575996,1,12.24,.655,.1339,.0025,.0965,.0004,.1117,85549,9288994,-.1616951066004144,.5807128358679484,2020,-2.92999394483718,-2.32232437301603,-2.59459468630006,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,2.04,.94628131,.1981,.51193535,.086099997,-.16266325,.0063,-.45247933,.071599998,.47196424,.00019999999,-.28794709,.0469,-.06211593,13301,.018063631,7327490,.079762824,.26413122,.69625241,.17855336,.66430521,0,,3.4705706,.99564725,2.696106,.68370646,3.2324142,1.1824261,.126118,1.4277692,2,.75381202,.024221174,-.86993694,.0055555557,0,0,0,1,0
ID,NE,Idaho,Nebraska,0,,,.6763370223190549,.80318207,4,9.59,.8841,.0066,.0131,.014,.0018,.0805,66725,1839106,.2731518972856256,.3412285707492213,2020,1.55121496394061,1.6086108463838,1.40165308868096,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,.61000001,-.68031174,.030999999,-.90858465,.041200001,-.67871505,.0043000001,-.51125538,.0109,-.43934801,.0012000001,-.23730424,.015699999,-.72698629,5523,-.79411018,122398,-.82346231,.17071578,-.032641895,.060930908,-.69206357,0,,1.0106385,-.66042352,1.2348293,-.41220438,.76383364,-.76969242,.068695903,.1750098,1,-.26046681,.01894534,-.97641951,.11,1,0,0,0,0
CO,NE,Colorado,Nebraska,1,105.51356,.009006652,.7760178545973349,.86502177,4,11.15,.8152,.0415,.0094,.032,.0016,.1004,83777,5773714,-.0566457894083754,.5693831949230015,2020,-.72864816598576,-.514170299132212,-1.08835230689087,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,.94999999,-.29356936,.037900001,-.8499276,.0063,-1.0798333,.00060000003,-.61999112,.0071,-.49639887,.001,-.24743281,.035599999,-.30291834,11529,-.16696748,3812210,-.36091012,.15908191,-.12341772,.16722372,.53365695,0,,1.2692248,-.48633859,.88795185,-.67235142,1.7261717,-.0086890971,.0068562031,-1.174127,1,-.26046681,.08073549,.27069631,.055555556,1,0,1,1,0
FL,NE,Florida,Nebraska,0,297.67569,.00003533336,.7234663542126619,.83392054,2,11.46,.7164,.1594,.0026,.0278,.0006,.0932,57763,21538187,.002403528257026,.4830524533785844,2020,1.27442229649935,1.47700591114495,1.00682007072931,.6952823617142409,.87187797,3,10.2,.8531,.0478,.0088,.0249,.0006,.0648,72248,1961504,.1024361140140543,.4021594775339827,2020,.540576539464749,.373781537978629,.637819452402941,1.26,.059048731,.1367,-.010027084,.1116,.13041741,.0062000002,-.45541814,.0029,-.5594551,0,-.29807565,.0284,-.45634994,14485,.14169616,19576684,1.6153129,.10003258,-.58416289,.080892973,-.4618701,0,,.73384577,-.8467654,1.1032244,-.51090389,.36900061,-1.0819207,.03795743,-.49560153,1,-.26046681,.028183993,-.78995502,.006849315,0,0,0,1,0
